,Gene,Disease
1064,prkct,
1065,protein kinase c theta type,
1066,3.1.4.17,
1067,61 kda cam-pde,
1068,cam-pde 1a,
1069,"dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1a",
1070,hcam-1,
1071,pde1a,
1072,2.3.2.23,
1073,2.3.2.24,
1074,e2 ubiquitin-conjugating enzyme d3,
1075,(e3-independent) e2 ubiquitin-conjugating enzyme d3,
1076,ubc5c,
1077,ubch5c,
1078,ube2d3,
1079,ubiquitin carrier protein d3,
1080,ubiquitin-conjugating enzyme e2(17)kb 3,
1081,ubiquitin-conjugating enzyme e2-17 kda 3,
1082,ubiquitin-conjugating enzyme e2 d3,
1083,ubiquitin-protein ligase d3,
1084,3.6.1.45,
1085,nucleoside diphosphate-linked moiety x motif 14,
1086,nudix motif 14,
1087,nudt14,
1088,udpg pyrophosphatase,
1089,ugpp,
1090,ugppase,
1091,uridine diphosphate glucose pyrophosphatase nudt14,
1092,carnitine transporter 2,
1093,ct2,
1094,flipt 2,
1095,flipt2,
1096,fly-like putative transporter 2,
1097,oct6,
1098,organic cation/carnitine transporter 6,
1099,organic cation transporter okb1,
1100,slc22a16,
1101,solute carrier family 22 member 16,
1102,cdc25,
1103,gnrp,
1104,gnrp,
1105,grf1,
1106,guanine nucleotide-releasing protein,
1107,ras-grf1,
1108,rasgrf1,
1109,ras-specific guanine nucleotide-releasing factor 1,
1110,ras-specific nucleotide exchange factor cdc25,
1111,3.1.-.-,
1112,3.5.2.6,
1113,5' exonuclease apollo,
1114,beta-lactamase dclre1b,
1115,dclre1b,OMIM:620133
1116,dna cross-link repair 1b protein,
1117,hsnm1b,
1118,snm1b,
1119,snm1 homolog b,
1120,snmib,
1121,prss24,
1122,six-transmembrane epithelial antigen of prostate 1,
1123,steap,
1124,steap1,
1125,steap1 protein,
1126,neuropilin-2,
1127,nrp2,
1128,vascular endothelial cell growth factor 165 receptor 2,
1129,vegf165r2,
1130,grb1,
1131,phosphatidylinositol 3-kinase 85 kda regulatory subunit alpha,
1132,phosphatidylinositol 3-kinase regulatory subunit alpha,
1133,pi3-kinase regulatory subunit alpha,
1134,pi3-kinase subunit p85-alpha,
1135,pi3k regulatory subunit alpha,
1136,pik3r1,ORPHA:33110
1137,ptdins-3-kinase regulatory subunit alpha,
1138,ptdins-3-kinase regulatory subunit p85-alpha,
1139,2.7.11.1,
1140,2.7.1.153,
1141,p110beta,
1142,"phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kda catalytic subunit beta",
1143,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",
1144,pi3kbeta,
1145,pi3k-beta,
1146,pi3-kinase subunit beta,
1147,pik3c1,
1148,pik3cb,
1149,ptdins-3-kinase subunit beta,
1150,ptdins-3-kinase subunit p110-beta,
1151,serine/threonine protein kinase pik3cb,
1152,2.7.11.1,
1153,2.7.1.137,
1154,2.7.1.153,
1155,2.7.1.154,
1156,p110gamma,
1157,p120-pi3k,
1158,"phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kda catalytic subunit gamma",
1159,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",
1160,phosphoinositide-3-kinase catalytic gamma polypeptide,
1161,pi3kgamma,
1162,pi3k-gamma,
1163,pi3-kinase subunit gamma,
1164,pik3cg,OMIM:619802
1165,ptdins-3-kinase subunit gamma,
1166,ptdins-3-kinase subunit p110-gamma,
1167,serine/threonine protein kinase pik3cg,
1168,2.7.11.1,
1169,2.7.1.137,
1170,2.7.1.153,
1171,p110alpha,
1172,"phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kda catalytic subunit alpha",
1173,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",
1174,phosphoinositide 3-kinase alpha,
1175,phosphoinositide-3-kinase catalytic alpha polypeptide,
1176,pi3kalpha,
1177,pi3k-alpha,
1178,pi3-kinase subunit alpha,
1179,pik3ca,ORPHA:221061
1180,ptdins-3-kinase subunit alpha,
1181,ptdins-3-kinase subunit p110-alpha,
1182,serine/threonine protein kinase pik3ca,
1183,phosphatidylinositol 3-kinase 85 kda regulatory subunit beta,
1184,phosphatidylinositol 3-kinase regulatory subunit beta,
1185,pi3-kinase regulatory subunit beta,
1186,pi3-kinase subunit p85-beta,
1187,pi3k regulatory subunit beta,
1188,pik3r2,ORPHA:83473
1189,ptdins-3-kinase regulatory subunit beta,
1190,ptdins-3-kinase regulatory subunit p85-beta,
1191,2.7.1.137,
1192,2.7.1.153,
1193,p110delta,
1194,"phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kda catalytic subunit delta",
1195,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",
1196,pi3kdelta,
1197,pi3k-delta,
1198,pi3-kinase subunit delta,
1199,pik3cd,ORPHA:221139
1200,ptdins-3-kinase subunit delta,
1201,ptdins-3-kinase subunit p110-delta,
1202,p101-pi3k,
1203,"phosphatidylinositol 4,5-bisphosphate 3-kinase regulatory subunit",
1204,phosphoinositide 3-kinase regulatory subunit 5,
1205,pi3-kinase p101 subunit,
1206,pi3-kinase regulatory subunit 5,
1207,pik3r5,ORPHA:64753
1208,protein foap-2,
1209,ptdins-3-kinase p101,
1210,ptdins-3-kinase regulatory subunit,
1211,p55pik,
1212,phosphatidylinositol 3-kinase 55 kda regulatory subunit gamma,
1213,phosphatidylinositol 3-kinase regulatory subunit gamma,
1214,pi3-kinase regulatory subunit gamma,
1215,pi3-kinase subunit p55-gamma,
1216,pi3k regulatory subunit gamma,
1217,pik3r3,
1218,ptdins-3-kinase regulatory subunit gamma,
1219,ptdins-3-kinase regulatory subunit p55-gamma,
1220,3.4.17.-,
1221,3.4.17.23,
1222,ace2,
1223,aceh,
1224,ace-related carboxypeptidase,
1225,angiotensin-converting enzyme 2,
1226,angiotensin-converting enzyme homolog,
1227,angiotensin-converting enzyme-related carboxypeptidase,
1228,metalloprotease mprot15,
1229,processed angiotensin-converting enzyme 2,
1230,2.7.10.2,
1231,2.7.11.1,
1232,hpsk,
1233,mpsk,
1234,mpsk1,
1235,myristoylated and palmitoylated serine/threonine-protein kinase,
1236,pkl12,
1237,protein kinase pkl12,
1238,serine/threonine-protein kinase 16,
1239,stk16,
1240,tgf-beta-stimulated factor 1,
1241,tsf1,
1242,tsf-1,
1243,tyrosine-protein kinase stk16,
1244,22 kda fk506-binding protein,
1245,22 kda fkbp,
1246,5.2.1.8,
1247,fk506-binding protein 14,
1248,fkbp14,ORPHA:300179
1249,fkbp-14,
1250,fkbp-22,
1251,fkbp22 ,
1252,peptidyl-prolyl cis-trans isomerase fkbp14,
1253,ppiase fkbp14,
1254,rotamase,
1255,epo,ORPHA:247511
1256,erythropoietin,
1257,inn=epoetin,
1258,heat shock 70 kda protein 2,
1259,heat shock-related 70 kda protein 2,
1260,hspa2,
1261,hop,
1262,hsc70/hsp90-organizing protein,
1263,renal carcinoma antigen ny-ren-11,
1264,sti1,
1265,stip1,
1266,stress-induced-phosphoprotein 1,
1267,transformation-sensitive protein ief ssp 3521,
1268,2.7.11.1,
1269,kiaa0619,
1270,p164 rock-2,
1271,"rho-associated, coiled-coil-containing protein kinase 2",
1272,"rho-associated, coiled-coil-containing protein kinase ii",
1273,rho-associated protein kinase 2,
1274,rho kinase 2,
1275,rock2,
1276,rock-ii,
1277,2.7.11.1,
1278,p160rock,
1279,p160 rock-1,
1280,renal carcinoma antigen ny-ren-35,
1281,"rho-associated, coiled-coil-containing protein kinase 1",
1282,"rho-associated, coiled-coil-containing protein kinase i",
1283,rho-associated protein kinase 1,
1284,rock1,
1285,rock-i,
1286,activator of 90 kda heat shock protein atpase homolog 1,
1287,aha1,
1288,ahsa1,
1289,c14orf3 ,
1290,p38,
1291,ccr4-not transcription complex subunit 9,
1292,cell differentiation protein rqcd1 homolog,
1293,cnot9,
1294,rcd-1,
1295,rcd1,
1296,rqcd1,
1297,2.3.2.13,
1298,epidermal tgase,
1299,ktg,
1300,protein-glutamine gamma-glutamyltransferase k,
1301,tgase-1,
1302,tgase k,
1303,tgk,
1304,tg(k),
1305,tgm1,ORPHA:100976
1306,transglutaminase-1,
1307,transglutaminase k,
1308,b-cell lymphoma 5 protein,
1309,b-cell lymphoma 6 protein,
1310,bcl5,
1311,bcl-5,
1312,bcl6,ORPHA:545
1313,bcl-6,
1314,laz3,
1315,protein laz-3,
1316,zbtb27,
1317,zinc finger and btb domain-containing protein 27,
1318,zinc finger protein 51,
1319,znf51,
1320,1.11.1.24,
1321,antioxidant enzyme aoe372,
1322,aoe37-2,
1323,peroxiredoxin-4,
1324,peroxiredoxin iv,
1325,prdx4,
1326,prx-iv,
1327,thioredoxin-dependent peroxide reductase a0372,
1328,thioredoxin-dependent peroxiredoxin 4,
1329,thioredoxin peroxidase ao372,
1330,3.6.5.2,
1331,rab7,
1332,rab7a,ORPHA:99936
1333,ras-related protein rab-7a,
1334,cap20,
1335,cdk-interacting protein 1,
1336,cdkn1,
1337,cdkn1a,ORPHA:652
1338,cip1,
1339,cyclin-dependent kinase inhibitor 1,
1340,mda6,
1341,mda-6,
1342,melanoma differentiation-associated protein 6,
1343,p21,
1344,pic1,
1345,sdi1,
1346,synonyms=cap20,
1347,waf1,
1348,2.7.11.1,
1349,akt1,ORPHA:2495
1350,pkb,
1351,pkb,
1352,pkb alpha,
1353,protein kinase b,
1354,protein kinase b alpha,
1355,proto-oncogene c-akt,
1356,rac,
1357,rac-alpha serine/threonine-protein kinase,
1358,rac-pk-alpha,
1359,2.7.10.1,
1360,alk,ORPHA:300895
1361,alk tyrosine kinase receptor,
1362,anaplastic lymphoma kinase,
1363,cd_antigen=cd246,
1364,3.1.3.-,
1365,"5'(3')-deoxyribonucleotidase, mitochondrial",
1366,"5',3'-nucleotidase, mitochondrial",
1367,deoxy-5'-nucleotidase 2,
1368,dnt-2,
1369,dnt2,
1370,nt5m,
1371,hpwtsr,
1372,hrspo3,
1373,protein with tsp type-1 repeat,
1374,pwtsr,
1375,roof plate-specific spondin-3,
1376,rspo3,
1377,r-spondin-3,
1378,thrombospondin type-1 domain-containing protein 2,
1379,thsd2,
1380,gpr48,
1381,g-protein coupled receptor 48,
1382,leucine-rich repeat-containing g-protein coupled receptor 4,
1383,lgr4,OMIM:619613
1384,1.4.3.-,
1385,1.4.3.13,
1386,loxl3,OMIM:619781
1387,lysyl oxidase homolog 3,
1388,lysyl oxidase-like protein 3,
1389,synonyms=loxl,
1390,atp6b2,
1391,atp6v1b2,ORPHA:3473
1392,endomembrane proton pump 58 kda subunit,
1393,ho57,
1394,vacuolar proton pump subunit b 2,
1395,v-atpase subunit b 2,
1396,vpp3,
1397,"v-type proton atpase subunit b, brain isoform",
1398,gem-associated protein 7,
1399,gemin-7,
1400,gemin7,
1401,sip3,
1402,3.5.4.6,
1403,ampd1,ORPHA:45
1404,amp deaminase 1,
1405,amp deaminase isoform m,
1406,myoadenylate deaminase,
1407,3.2.1.106,
1408,gcs1,
1409,mannosyl-oligosaccharide glucosidase,
1410,mogs,ORPHA:79330
1411,processing a-glucosidase i,
1412,synonyms=gcs1,
1413,2.3.1.21,
1414,"carnitine o-palmitoyltransferase 1, muscle isoform",
1415,"carnitine o-palmitoyltransferase i, muscle isoform",
1416,carnitine palmitoyltransferase 1b,
1417,carnitine palmitoyltransferase i-like protein,
1418,cpt1b,
1419,cpt1-m,
1420,cpt i,
1421,cpti-m,
1422,kiaa1670,
1423,dna mismatch repair protein msh2,
1424,hmsh2,
1425,msh2,ORPHA:252202
1426,muts protein homolog 2,
1427,"inositol 1,4,5-trisphosphate receptor type 3",
1428,insp3r3,
1429,ip3r 3,
1430,ip3 receptor isoform 3,
1431,itpr3,OMIM:222100
1432,"type 3 inositol 1,4,5-trisphosphate receptor",
1433,type 3 insp3 receptor,
1434,b(2)gcn homolog,
1435,b4 integrin interactor,
1436,cab,
1437,eif-6,
1438,eif6,
1439,eukaryotic translation initiation factor 6,
1440,itgb4bp,
1441,p27(bbp),
1442,synonyms=eif3a,
1443,gnao1,ORPHA:592564
1444,guanine nucleotide-binding protein g(o) subunit alpha,
1445,chrna7,ORPHA:199318
1446,nachra7,
1447,neuronal acetylcholine receptor subunit alpha-7,
1448,2.7.11.1,
1449,krs2,
1450,mammalian ste20-like protein kinase 1,
1451,mst1,ORPHA:171
1452,mst-1,
1453,mst1/c,
1454,mst1/n,
1455,serine/threonine-protein kinase 4,
1456,serine/threonine-protein kinase 4 18kda subunit,
1457,serine/threonine-protein kinase 4 37kda subunit,
1458,serine/threonine-protein kinase krs-2,
1459,ste20-like kinase mst1,
1460,stk4,ORPHA:314689
1461,2.7.11.1,
1462,krs1,
1463,mammalian ste20-like protein kinase 2,
1464,mst2,
1465,mst-2,
1466,mst2/c,
1467,mst2/n,
1468,serine/threonine-protein kinase 3,
1469,serine/threonine-protein kinase 3 20kda subunit,
1470,serine/threonine-protein kinase 3 36kda subunit,
1471,serine/threonine-protein kinase krs-1,
1472,ste20-like kinase mst2,
1473,stk3,
1474,gab1,OMIM:605428
1475,grb2-associated binder 1,
1476,grb2-associated-binding protein 1,
1477,growth factor receptor bound protein 2-associated protein 1,
1478,3.6.1.52,
1479,"diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase 2",
1480,diphosphoinositol polyphosphate phosphohydrolase 2,
1481,dipp2,
1482,dipp-2,
1483,kiaa0487,
1484,nucleoside diphosphate-linked moiety x motif 4,
1485,nudix motif 4,
1486,nudt4,
1487,2.7.11.1,
1488,ampk-related protein kinase 5,
1489,ark5,
1490,ark5,
1491,kiaa0537,
1492,nuak1,
1493,nuak family snf1-like kinase 1,
1494,omphalocele kinase 1,
1495,omphk1,
1496,cd_antigen=cd217,
1497,cdw217,
1498,il17r,
1499,il17ra,ORPHA:1334
1500,il-17ra,
1501,il-17 receptor a,
1502,interleukin-17 receptor a,
1503,dynein-related aaa-atpase mdn1,
1504,kiaa0301,
1505,mdn1,
1506,midas-containing protein,
1507,midasin,
1508,3.6.4.13,
1509,atp-dependent rna helicase p54,
1510,ddx6,ORPHA:528084
1511,dead box protein 6,
1512,hlr2,
1513,oncogene rck,
1514,probable atp-dependent rna helicase ddx6,
1515,rck,
1516,3.1.3.-,
1517,"5'(3')-deoxyribonucleotidase, cytosolic type",
1518,"cytosolic 5',3'-pyrimidine nucleotidase",
1519,deoxy-5'-nucleotidase 1,
1520,dnt-1,
1521,dnt1,
1522,nt5c,
1523,umph2,
1524,2.7.10.1,
1525,egfr,ORPHA:294023
1526,epidermal growth factor receptor,
1527,erbb,
1528,erbb1,
1529,her1,
1530,proto-oncogene c-erbb-1,
1531,receptor tyrosine-protein kinase erbb-1,
1532,2.7.10.1,
1533,mer,
1534,mertk,ORPHA:791
1535,proto-oncogene c-mer,
1536,receptor tyrosine kinase mertk,
1537,tyrosine-protein kinase mer,
1538,gamma-tropomyosin,
1539,htm5,
1540,tpm3,ORPHA:171881
1541,tropomyosin-3,
1542,tropomyosin-5,
1543,tropomyosin alpha-3 chain,
1544,2.7.1.138,
1545,acylsphingosine kinase,
1546,ceramide kinase,
1547,cerk,
1548,hcerk,
1549,kiaa1646,
1550,lipid kinase 4,
1551,lk4,
1552,brain and testis-specific immunoglobulin superfamily protein,
1553,bt-igsf,
1554,btigsf,
1555,cxadrl1,
1556,igsf11,
1557,igsf11,
1558,immunoglobulin superfamily member 11,
1559,v-set and immunoglobulin domain-containing protein 3,
1560,vsig3,
1561,lpa-6,
1562,lpar6,ORPHA:55654
1563,lpa receptor 6,
1564,lysophosphatidic acid receptor 6,
1565,oleoyl-l-alpha-lysophosphatidic acid receptor,
1566,p2ry5,
1567,p2y5,
1568,p2y purinoceptor 5,
1569,purinergic receptor 5,
1570,rb intron encoded g-protein coupled receptor,
1571,mapt,ORPHA:240103
1572,maptl,
1573,microtubule-associated protein tau,
1574,mtbt1,
1575,neurofibrillary tangle protein,
1576,paired helical filament-tau,
1577,phf-tau,
1578,tau,
1579,cytosolic inhibitor of nrf2,
1580,inrf2,
1581,inrf2,
1582,keap1,ORPHA:276399
1583,kelch-like ech-associated protein 1,
1584,kelch-like protein 19,
1585,kiaa0132,
1586,kiaa0132 gn  ,
1587,klhl19,
1588,synonyms=inrf2,
1589,cul3,ORPHA:300530
1590,cul-3,
1591,cullin-3,
1592,kiaa0617,
1593,"inositol 1,4,5-trisphosphate receptor type 1",
1594,insp3r1,
1595,insp3r1,
1596,ip3r 1,
1597,ip3 receptor isoform 1,
1598,itpr1,ORPHA:1065
1599,"type 1 inositol 1,4,5-trisphosphate receptor",
1600,type 1 insp3 receptor,
1601,3.1.4.35,
1602,cgb-pde,
1603,cgmp-binding cgmp-specific phosphodiesterase,
1604,"cgmp-specific 3',5'-cyclic phosphodiesterase",
1605,pde5,
1606,pde5a,
1607,3.1.4.53,
1608,"3',5'-cyclic-amp phosphodiesterase 4a",
1609,camp-specific phosphodiesterase 4a,
1610,dpde2,
1611,dpde2,
1612,pde46,
1613,pde4a,
1614,3.1.4.53,
1615,"3',5'-cyclic-amp phosphodiesterase 4d",
1616,camp-specific phosphodiesterase 4d,
1617,dpde3,
1618,dpde3,
1619,pde43,
1620,pde4d,ORPHA:950
1621,3.1.4.53,
1622,"3',5'-cyclic-amp phosphodiesterase 4b",
1623,camp-specific phosphodiesterase 4b,
1624,dpde4,
1625,dpde4,
1626,pde32,
1627,pde4b,
1628,3.1.4.53,
1629,"3',5'-cyclic-amp phosphodiesterase 4c",
1630,camp-specific phosphodiesterase 4c,
1631,dpde1,
1632,dpde1,
1633,pde21,
1634,pde4c,
1635,1.1.1.153,
1636,sepiapterin reductase,
1637,spr,ORPHA:70594
1638,spr,ORPHA:70594
1639,ets-related protein tel1,
1640,ets translocation variant 6,
1641,etv6,ORPHA:71290
1642,tel,
1643,tel,
1644,tel1,
1645,transcription factor etv6,
1646,2.4.1.152,
1647,4-galactosyl-n-acetylglucosaminide 3-alpha-l-fucosyltransferase,
1648,"alpha-(1,3)-fucosyltransferase 4",
1649,elam-1 ligand fucosyltransferase,
1650,elft,
1651,fct3a,
1652,fucosyltransferase 4,
1653,fucosyltransferase iv,
1654,fuc-tiv,
1655,fuct-iv,
1656,fut4,
1657,galactoside 3-l-fucosyltransferase,
1658,synonyms=elft,
1659,2.7.11.22,
1660,2.7.11.23,
1661,cdk8,OMIM:618748
1662,cell division protein kinase 8,
1663,cyclin-dependent kinase 8,
1664,mediator complex subunit cdk8,
1665,mediator of rna polymerase ii transcription subunit cdk8,
1666,protein kinase k35,
1667,nr1c3,
1668,nuclear receptor subfamily 1 group c member 3,
1669,peroxisome proliferator-activated receptor gamma,
1670,pparg,ORPHA:528
1671,ppar-gamma,
1672,bhlhe75,
1673,bhlhe75,
1674,class e basic helix-loop-helix protein 75,
1675,htif2,
1676,ncoa-2,
1677,ncoa2,
1678,nuclear receptor coactivator 2,
1679,src2,
1680,tif2,
1681,transcriptional intermediary factor 2,
1682,2.1.1.357,
1683,histone-lysine n-methyltransferase nsd2,
1684,mmset,
1685,mmset,
1686,multiple myeloma set domain-containing protein,
1687,nsd2,ORPHA:280
1688,nuclear set domain-containing protein 2,
1689,protein trithorax-5,
1690,synonyms=kiaa1090,
1691,trx5,
1692,whsc1,
1693,wolf-hirschhorn syndrome candidate 1 protein,
1694,pge2 receptor ep1 subtype,
1695,pge receptor ep1 subtype,
1696,prostaglandin e2 receptor ep1 subtype,
1697,prostanoid ep1 receptor,
1698,ptger1,
1699,bdr1,
1700,calcium-binding protein bdr-1,
1701,hippocalcin-like protein 1,
1702,hlp2,
1703,hpcal1,
1704,vilip-3,
1705,visinin-like protein 3,
1706,2.7.10.2,
1707,2.7.11.1,
1708,hmelk,
1709,hpk38,
1710,kiaa0175,
1711,maternal embryonic leucine zipper kinase,
1712,melk,
1713,peg3 kinase,
1714,protein kinase eg3,
1715,protein kinase pk38,
1716,tyrosine-protein kinase melk,
1717,cfp1,
1718,cgbp,
1719,cpg-binding protein,
1720,cxxc1,
1721,cxxc-type zinc finger protein 1,
1722,pccx1,
1723,phd finger and cxxc domain-containing protein 1,
1724,phf18,
1725,cytoplasmic protein nck1,
1726,nck,
1727,nck-1,
1728,nck1,
1729,nck adapter protein 1,
1730,sh2/sh3 adapter protein nck1,
1731,sh2/sh3 adapter protein nck-alpha,
1732,2.7.1.48,
1733,cytidine monophosphokinase 1,
1734,uck1,
1735,uck 1,
1736,uridine-cytidine kinase 1,
1737,uridine monophosphokinase 1,
1738,urk1,
1739,3.5.1.-,
1740,3.5.1.98,
1741,hd1,
1742,hdac1,
1743,histone deacetylase 1,
1744,protein deacetylase hdac1,
1745,protein decrotonylase hdac1,
1746,rpd3l1,
1747,synonyms=rpd3l1,
1748,3.5.1.-,
1749,3.5.1.98,
1750,hd3,
1751,hdac3,
1752,histone deacetylase 3,
1753,protein deacetylase hdac3,
1754,protein deacylase hdac3,
1755,rpd3-2,
1756,smap45,
1757,3.5.1.-,
1758,3.5.1.98,
1759,hd6,
1760,hdac6,ORPHA:163966
1761,histone deacetylase 6,
1762,kiaa0901 ,
1763,tubulin-lysine deacetylase hdac6,
1764,3.5.1.-,
1765,3.5.1.98,
1766,hd2,
1767,hdac2,
1768,histone deacetylase 2,
1769,protein deacylase hdac2,
1770,gpr12a,
1771,gpr68,ORPHA:100033
1772,g-protein coupled receptor 68,
1773,ogr1,
1774,ogr-1,
1775,ovarian cancer g-protein coupled receptor 1,
1776,sphingosylphosphorylcholine receptor,
1777,elavl1,
1778,elav-like protein 1,
1779,hu-antigen r,
1780,hur,
1781,hur,
1782,3.4.21.-,
1783,leydin,
1784,motopsin,
1785,neurotrypsin,
1786,prss12,ORPHA:88616
1787,serine protease 12,
1788,c5orf18,
1789,dp1,
1790,polyposis locus protein 1,
1791,protein tb2,
1792,receptor expression-enhancing protein 5,
1793,reep5,
1794,tb2,
1795,cash,
1796,cash,
1797,casp8 and fadd-like apoptosis regulator,
1798,casp8 and fadd-like apoptosis regulator subunit p12,
1799,casp8 and fadd-like apoptosis regulator subunit p43,
1800,casp8ap1,
1801,caspase-eight-related protein,
1802,caspase homolog,
1803,caspase-like apoptosis regulatory protein,
1804,casper,
1805,cellular flice-like inhibitory protein,
1806,cflar,
1807,c-flip,
1808,clarp,
1809,clarp,
1810,fadd-like antiapoptotic molecule 1,
1811,flame-1,
1812,i-flice,
1813,inhibitor of flice,
1814,mach-related inducer of toxicity,
1815,mrit,
1816,mrit,
1817,usurpin,
1818,bromodomain and phd finger-containing protein 3,
1819,brpf3,
1820,kiaa1286,
1821,synonyms=kiaa1286,
1822,zcwpw1,
1823,zinc finger cw-type pwwp domain protein 1,
1824,gaba(a) receptor subunit alpha-1,
1825,gabra1,ORPHA:33069
1826,gamma-aminobutyric acid receptor subunit alpha-1,
1827,gaba(a) receptor subunit beta-1,
1828,gabrb1,OMIM:617153
1829,gamma-aminobutyric acid receptor subunit beta-1,
1830,adp-glucose receptor,
1831,adpg-r,
1832,hork3,
1833,p2ry12,ORPHA:36355
1834,p2t(ac),
1835,p2y12,
1836,p2y12 platelet adp receptor,
1837,p2y(ac),
1838,p2y(adp),
1839,p2y(cyc),
1840,p2y purinoceptor 12,
1841,sp1999,
1842,2-arachidonoylglycerol hydrolase abhd12,
1843,3.1.-.-,
1844,3.1.1.23,
1845,abhd12,ORPHA:171848
1846,abhydrolase domain-containing protein 12,
1847,habhd12,
1848,lysophosphatidylserine lipase abhd12,
1849,monoacylglycerol lipase abhd12,
1850,oxidized phosphatidylserine lipase abhd12,
